Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no,Status,Justification
backend,secretstuffs.application.useCases.auth,AuthCommandHandler,sendVerificationEmail,Long Statement,"The length of the statement ""String verificationLink=ServletUriComponentsBuilder.fromCurrentContextPath().path(""/api/auth/verify-email"").queryParam(""token""`token).toUriString();"" is 148.",48,Solved,
backend,secretstuffs.application.useCases.auth,AuthCommandHandler,sendVerificationEmail,Long Statement,"The length of the statement ""String verificationLink=ServletUriComponentsBuilder.fromCurrentContextPath().path(""/api/auth/verify-email"").queryParam(""token""`token).toUriString();"" is 148.",48,Solved,
backend,secretstuffs.controllers,AuthController,registerUser,Long Statement,"The length of the statement ""return buildApiResponse(""User created successfully. A verification email has been sent.""`HttpStatus.CREATED`responseDTO);"" is 121.",43,Solved,
backend,secretstuffs.controllers,AuthController,resendVerificationEmail,Long Statement,"The length of the statement ""return isResent ? buildApiResponse(""Verification email resent successfully""`HttpStatus.OK`""Verification email resent"") : buildApiResponse(""Failed to resend verification email. Please try again later.""`HttpStatus.BAD_REQUEST`""Resend failed"");"" is 241.",62,Solved,
backend,secretstuffs.controllers,AuthController,buildRedirectHeaders,Long Statement,"The length of the statement ""String redirectUrl=ServletUriComponentsBuilder.fromCurrentContextPath().port(3000).path(""/auth"").queryParam(""status""`isVerified ? ""success"" : ""failure"").toUriString();"" is 167.",90,Solved,
backend,secretstuffs.controllers,AuthController,buildRedirectHeaders,Magic Number,The method contains a magic number: 3000,90,Solved,
backend,secretstuffs.controllers,AuthController,resendVerificationEmail,Long Statement,"The length of the statement ""return buildResponse(""Failed to resend verification email. Please try again later.""`HttpStatus.BAD_REQUEST`""Resend failed"");"" is 124.",67,Solved,
backend,secretstuffs.controllers,AuthController,resetPassword,Long Statement,"The length of the statement ""return ResponseEntity.status(HttpStatus.BAD_REQUEST).body(new ApiResponseDTO<>(""Passwords do not match""`HttpStatus.BAD_REQUEST.value()`""PASSWORD_MISMATCH""));"" is 157.",92,Solved,
backend,secretstuffs.application.services,AuthService,AuthService,Long Parameter List,The method has 5 parameters.,35,False Positive ,"This is a false positive because the detected method is a constructor used for dependency injection, where having multiple parameters is a standard and necessary practice to initialize required dependencies."
backend,secretstuffs.application.services,AuthService,createUser,Long Statement,"The length of the statement ""User user=User.builder().firstName(command.getFirstName()).lastName(command.getLastName()).email(command.getEmail()).password(encryptedPassword).profileImageURL(command.getProfileImageURL()).active(false).build();"" is 213.",63,Solved,
backend,secretstuffs.application.services,AuthService,findUserByEmail,Long Statement,"The length of the statement ""return userRepository.findByEmail(email).orElseThrow(() -> new BusinessException(""User with email "" + email + "" not found""`""USER_NOT_FOUND""`HttpStatus.NOT_FOUND));"" is 163.",75,Solved,
backend,secretstuffs.application.services,AuthService,validateUserIsActive,Long Statement,"The length of the statement ""throw new BusinessException(""User is not verified. Please verify your email.""`""USER_NOT_VERIFIED""`HttpStatus.UNAUTHORIZED);"" is 123.",84,Solved,
backend,secretstuffs.application.services,AuthService,buildRegisterResponse,Long Statement,"The length of the statement ""return RegisterUserResponseDTO.builder().email(user.getEmail()).profileImageURL(user.getProfileImageURL()).active(user.isActive()).token(token).expiresAt(expiresAt).build();"" is 173.",124,Solved,
backend,secretstuffs.application.services,AuthService,resetPassword,Long Statement,"The length of the statement ""VerificationToken verificationToken=verificationTokenRepository.findByToken(token).orElseThrow(() -> new BusinessException(""Invalid token""`""INVALID_TOKEN""`HttpStatus.BAD_REQUEST));"" is 180.",151,False Positive ,"This is a false positive because the detected long statement is part of a standard repository query using .orElseThrow() to handle exceptions. While the line length may appear long, it is concise, readable, and adheres to common practices for exception handling in such cases. Breaking it into smaller parts would unnecessarily reduce clarity without improving functionality."
backend,secretstuffs.application.services,AuthService,forgotPassword,Long Statement,"The length of the statement ""String resetLink=ServletUriComponentsBuilder.fromCurrentContextPath().path(""/reset-password/"").path(token.getToken()).toUriString();"" is 132.",139,Solved,
backend,secretstuffs.domain.dtos.commands.user,ChangePasswordCommand,isValid,Long Statement,"The length of the statement ""return email != null && !email.isEmpty() && oldPassword != null && !oldPassword.isEmpty() && newPassword != null && !newPassword.isEmpty() && newPassword.equals(confirmPassword);"" is 178.",16,Solved,
backend,secretstuffs.application.useCases.user,ChangePasswordCommandHandler,handle,Long Statement,"The length of the statement ""User user=userRepository.findByEmail(command.getEmail()).orElseThrow(() -> new BusinessException(""User not found""`""USER_NOT_FOUND""`HttpStatus.NOT_FOUND));"" is 154.",22,Solved,
backend,secretstuffs.application.useCases.user,ChangePasswordCommandHandler,handle,Long Statement,"The length of the statement ""throw new BusinessException(""New password and confirm password do not match""`""PASSWORDS_DO_NOT_MATCH""`HttpStatus.BAD_REQUEST);"" is 126.",22,Solved,
backend,secretstuffs.domain.models.requests.user,ChangePasswordRequestDTO,isValid,Long Statement,"The length of the statement ""return oldPassword != null && !oldPassword.isEmpty() && newPassword != null && !newPassword.isEmpty() && newPassword.equals(confirmPassword);"" is 141.",28,Solved,
backend,secretstuffs.controllers,ChatController,processMessage,Long Statement,"The length of the statement ""messagingTemplate.convertAndSendToUser(chatMessage.getRecipientId()`destination`new ChatNotification(savedMsg.getId()`savedMsg.getSenderId()`savedMsg.getRecipientId()`savedMsg.getContent()));"" is 191.",26,Solved,
backend,secretstuffs.domain.entities,ChatMessage,shortenedContent,Magic Number,The method contains a magic number: 50,70,Solved,
backend,secretstuffs.domain.dtos.commands.itemPost,CreateItemPostCommand,isValid,Long Statement,"The length of the statement ""return email != null && !email.isEmpty() && title != null && !title.isEmpty() && address != null && !address.isEmpty() && condition != null && category != null;"" is 160.",23,Solved,
backend,secretstuffs.domain.models.requests.itemPost,CreateItemPostRequestDTO,isValid,Long Statement,"The length of the statement ""return email != null && !email.isEmpty() && title != null && !title.isEmpty() && address != null && !address.isEmpty() && condition != null && category != null;"" is 160.",51,Solved,
backend,secretstuffs.application.services,DonationService,save,Complex Conditional,The conditional expression donation.getUser() == null || donation.getUser().getId() == null || donation.getItemPost() == null || donation.getItemPost().getId() == null is complex.,24,Solved,
backend,secretstuffs.application.services,DonationService,save,Long Statement,"The length of the statement ""if (donation.getUser() == null || donation.getUser().getId() == null || donation.getItemPost() == null || donation.getItemPost().getId() == null) {"" is 147.",24,Solved,
backend,secretstuffs.application.services,EmailService,sendVerificationEmail,Long Statement,"The length of the statement ""String emailContent=loadEmailTemplate(""Templates/verification-email.html"").replace(""{verificationLink}""`verificationLink);"" is 122.",21,Solved,
backend,secretstuffs.domain.models.responses,ErrorResponseDTO,getFormattedErrors,Long Statement,"The length of the statement ""return errors.entrySet().stream().map(entry -> entry.getKey() + "": "" + entry.getValue()).reduce((msg1`msg2) -> msg1 + ""; "" + msg2).orElse("""");"" is 142.",37,Solved,
backend,secretstuffs.domain.models.responses,ErrorResponseDTO,forValidationError,Long Statement,"The length of the statement ""return ErrorResponseDTO.builder().status(status).message(message).errorCode(""VALIDATION_ERROR"").timestamp(LocalDateTime.now()).errors(errors).build();"" is 150.",52,Solved,
backend,secretstuffs.domain.models.responses,ErrorResponseDTO,forGenericError,Long Statement,"The length of the statement ""return ErrorResponseDTO.builder().status(status).message(message).errorCode(errorCode).timestamp(LocalDateTime.now()).build();"" is 126.",70,Solved,
backend,secretstuffs.application.exception,GlobalExceptionHandler,handleBusinessException,Long Statement,"The length of the statement ""logger.warn(""Business exception: URI={}` ErrorCode={}` Message={}""`request.getRequestURI()`ex.getErrorCode()`ex.getErrorMessage());"" is 131.",46,Solved,
backend,secretstuffs.application.exception,GlobalExceptionHandler,handleArgumentTypeMismatch,Long Statement,"The length of the statement ""logger.warn(""Argument type mismatch: Description={}` ErrorCode=ARGUMENT_TYPE_MISMATCH` Message=Invalid argument type""`request.getDescription(false));"" is 149.",74,Solved,
backend,secretstuffs.application.exception,GlobalExceptionHandler,handleUnreadableMessage,Long Statement,"The length of the statement ""logger.warn(""Malformed JSON request: URI={}` ErrorCode=MESSAGE_NOT_READABLE` Message=Malformed JSON request""`request.getRequestURI());"" is 134.",88,Solved,
backend,secretstuffs.application.exception,GlobalExceptionHandler,handleGenericException,Long Statement,"The length of the statement ""logger.error(""Unexpected error: URI={}` ErrorCode=INTERNAL_SERVER_ERROR` Message=An unexpected error occurred""`request.getRequestURI());"" is 136.",102,Solved,
backend,secretstuffs.application.exception,GlobalExceptionHandler,buildErrorResponse,Long Statement,"The length of the statement ""ErrorResponseDTO errorResponse=ErrorResponseDTO.builder().status(status.value()).message(message).errorCode(errorCode).timestamp(LocalDateTime.now()).errors(errors).build();"" is 173.",116,Solved,
backend,secretstuffs.domain.entities,ItemPost,formatDescription,Magic Number,The method contains a magic number: 100,58,Solved,
backend,secretstuffs.application.services,ItemPostService,getAllPostsByEmail,Long Statement,"The length of the statement ""return itemPostRepository.findAllByEmail(email).stream().map(this::buildFetchItemPostResponse).collect(Collectors.toList());"" is 124.",50,Solved,
backend,secretstuffs.application.services,ItemPostService,toEntity,Long Statement,"The length of the statement ""return ItemPost.builder().email(command.getEmail()).title(command.getTitle()).description(command.getDescription()).address(command.getAddress()).itemPostImageUrl(command.getItemPostUrl()).condition(command.getCondition()).category(command.getCategory()).build();"" is 263.",87,Solved,
